TITLE,AUTHOR,VERSION,PRICE
La chica del verano (novela),La Vecina Rubia,tapa blanda,"18,90"
El problema final,Arturo Perez Reverte,tapa dura,"20,80"
Alas de sangre (empireo 1),Rebecca Yarros,tapa dura,"21,75"
El cuco de cristal,Javier Castillo,tapa blanda,"19,85"
Las hijas de la criada (premio planeta 2023),Sonsoles Onega,tapa dura,"21,75"
Alas de hierro (empireo 2),Rebecca Yarros,tapa dura,"22,70"
Maldita roma (serie julio cesar 2),Santiago Posteguillo,tapa dura,"23,65"
El angel de la ciudad (serie kraken 2),Eva Garcia Saenz De Urturi,tapa dura,"20,80"
La armadura de la luz (saga los pilares de la tierra 5),Ken Follett,tapa dura,"23,65"
Todo vuelve (serie todo arde 2),Juan Gomez Jurado,tapa dura,"21,75"
