title,author,version,price
LA CHICA DEL VERANO (NOVELA),LA VECINA RUBIA,Tapa blanda,"18,90"
EL PROBLEMA FINAL,ARTURO PEREZ REVERTE,Tapa dura,"20,80"
ALAS DE SANGRE (EMPIREO 1),REBECCA YARROS,Tapa dura,"21,75"
EL CUCO DE CRISTAL,JAVIER CASTILLO,Tapa blanda,"19,85"
LAS HIJAS DE LA CRIADA (PREMIO PLANETA 2023),SONSOLES ONEGA,Tapa dura,"21,75"
ALAS DE HIERRO (EMPIREO 2),REBECCA YARROS,Tapa dura,"22,70"
MALDITA ROMA (SERIE JULIO CESAR 2),SANTIAGO POSTEGUILLO,Tapa dura,"23,65"
EL ANGEL DE LA CIUDAD (SERIE KRAKEN 2),EVA GARCIA SAENZ DE URTURI,Tapa dura,"20,80"
LA ARMADURA DE LA LUZ (SAGA LOS PILARES DE LA TIERRA 5),KEN FOLLETT,Tapa dura,"23,65"
TODO VUELVE (SERIE TODO ARDE 2),JUAN GOMEZ JURADO,Tapa dura,"21,75"
