title,author,version,price
NOVIA,ALI HAZELWOOD,Tapa blanda,"18,00"
TRES ENIGMAS PARA LA ORGANIZACIÓN,EDUARDO MENDOZA,Tapa blanda,"20,80"
EL HIJO OLVIDADO,MIKEL SANTIAGO,Tapa blanda,"21,75"
LA PACIENTE SILENCIOSA,ALEX MICHAELIDES,Tapa blanda,"10,40"
EL BARRACON DE LAS MUJERES,FERMINA CAÑAVERAS,Tapa blanda,"19,85"
PARÍS DESPERTABA TARDE,MAXIM HUERTA,Tapa dura,"19,85"
LAS HIJAS DE LA CRIADA (PREMIO PLANETA 2023),SONSOLES ONEGA,Tapa dura,"21,75"
LA RED PÚRPURA (EDICIÓN LIMITADA) (LA NOVIA GITANA 2),CARMEN MOLA,Tapa blanda,"7,55"
EL ANGEL DE LA CIUDAD ((EJEMPLAR FIRMADO POR LA AUTORA),EVA GARCIA SAENZ DE URTURI,Tapa dura,"20,80"
SCARRED: UNA HISTORIA DE NUNCA JAMAS,EMILY MCINTIRE,Tapa blanda,"19,90"
